ARCID	PLANVERSIONID	STOPS_STOPID_START	STOPS_STOPID_END	STARTPOINT	ENDPOINT	DESCRIPTION	ARCLENGTH
111658	40	500800	500750	CAICED1	ERMI1	Camino a pie entre Plaza de Caicedo A1 y La Ermita A1	146
111659	40	500800	500850	CAICED1	CENTRO1	Camino a pie entre Plaza de Caicedo A1 y Centro A1	477
111660	40	500800	501550	CAICED1	SANPED2	Camino a pie entre Plaza de Caicedo A1 y San Pedro B1	322
111661	40	500800	515001	CAICED1	C8K41	Camino a pie entre Plaza de Caicedo A1 y Cl 8 entre Kr 3 y 4	568
111662	40	500800	519047	CAICED1	K8C16	Camino a pie entre Plaza de Caicedo A1 y Kr 8 entre Cl 16 y 15	646
111663	40	500800	519048	CAICED1	K5C15	Camino a pie entre Plaza de Caicedo A1 y Kr 5 entre Cl 15  y 16	325
111664	40	500800	519068	CAICED1	C9K8	Camino a pie entre Plaza de Caicedo A1 y Cl 9 entre Kr 8 y 6	531
111665	40	500800	519070	CAICED1	K4C9	Camino a pie entre Plaza de Caicedo A1 y Kr 4 entre Cl 9 y 8	461
111666	40	500850	500800	CENTRO1	CAICED1	Camino a pie entre Centro A1 y Plaza de Caicedo A1	477
111667	40	500850	500900	CENTRO1	STROSA1	Camino a pie entre Centro A1 y Santa Rosa A1	162
111668	40	500850	501500	CENTRO1	PTCUY2	Camino a pie entre Centro A1 y Petecuy B1	406
111669	40	500850	519047	CENTRO1	K8C16	Camino a pie entre Centro A1 y Kr 8 entre Cl 16 y 15	429
111670	40	500850	519051	CENTRO1	C10K10	Camino a pie entre Centro A1 y Cl 10 entre Kr 10 y 12	484
111671	40	500850	519068	CENTRO1	C9K8	Camino a pie entre Centro A1 y Cl 9 entre Kr 8 y 6	606
111672	40	500850	519139	CENTRO1	K10C15	Camino a pie entre Centro A1 y Kr 10 entre Cl 15 y 16	418
111673	40	500900	500850	STROSA1	CENTRO1	Camino a pie entre Santa Rosa A1 y Centro A1	162
111674	40	500900	500950	STROSA1	FRAY1	Camino a pie entre Santa Rosa A1 y Fray Damian A1	374
111675	40	500900	501500	STROSA1	PTCUY2	Camino a pie entre Santa Rosa A1 y Petecuy B1	426
111759	40	501400	500950	SANPAS1	FRAY1	Camino a pie entre San Pascual A1 y Fray Damian A1	262
111761	40	501400	519026	SANPAS1	C13K21	Camino a pie entre San Pascual A1 y Cl 13 entre Kr 21 y 20	1200
111762	40	501400	519061	SANPAS1	C15K19A	Camino a pie entre San Pascual A1 y Cl 15 entre Kr 19A y 18A	870
111763	40	501450	500950	SUCRE2	FRAY1	Camino a pie entre Sucre B1 y Fray Damian A1	493
111764	40	501450	501400	SUCRE2	SANPAS1	Camino a pie entre Sucre B1 y San Pascual A1	415
111765	40	501450	519061	SUCRE2	C15K19A	Camino a pie entre Sucre B1 y Cl 15 entre Kr 19A y 18A	455
111766	40	501450	519139	SUCRE2	K10C15	Camino a pie entre Sucre B1 y Kr 10 entre Cl 15 y 16	569
111767	40	501500	500850	PTCUY2	CENTRO1	Camino a pie entre Petecuy B1 y Centro A1	406
111768	40	501500	500900	PTCUY2	STROSA1	Camino a pie entre Petecuy B1 y Santa Rosa A1	426
111768	40	501500	500850	PTCUY2	CENTRO1	Camino a pie entre Petecuy B1 y Centro A1	406
111770	40	501500	519047	PTCUY2	K8C16	Camino a pie entre Petecuy B1 y Kr 8 entre Cl 16 y 15	213
111771	40	501500	519048	PTCUY2	K5C15	Camino a pie entre Petecuy B1 y Kr 5 entre Cl 15  y 16	568
111772	40	501500	519139	PTCUY2	K10C15	Camino a pie entre Petecuy B1 y Kr 10 entre Cl 15 y 16	160
111773	40	501500	519140	PTCUY2	K10C19	Camino a pie entre Petecuy B1 y Kr 10 entre Cl 19 y 20	541
111774	40	501550	500600	SANPED2	TORRE1	Camino a pie entre San Pedro B1 y Torre de Cali A1	620
111776	40	501550	500800	SANPED2	CAICED1	Camino a pie entre San Pedro B1 y Plaza de Caicedo A1	322
110075	40	500700	500500	SANIC2	RIOC1	Camino a pie entre San Nicolas B1 y Rio Cali A1	230
110076	40	500700	500650	SANIC2	PILOT2	Camino a pie entre San Nicolas B1 y Piloto B1	631
110077	40	500700	502350	SANIC2	VERSALL1	Camino a pie entre San Nicolas B1 y Versalles A1	438
110078	40	500700	512050	SANIC2	C21NA3N	Camino a pie entre San Nicolas B1 y Cl 21N entre Av 3N y 4N	497
110079	40	500700	512070	SANIC2	C18NA3N	Camino a pie entre San Nicolas B1 y Cl 18N entre Av 4N y 3N	802
110080	40	500700	519033	SANIC2	C21K1	Camino a pie entre San Nicolas B1 y Cl 21 entre Kr 1 y 2	234
110081	40	500700	519034	SANIC2	K5C21	Camino a pie entre San Nicolas B1 y Kr 5 entre Cl 21 y 22	497
110082	40	500700	519049	SANIC2	K5C19	Camino a pie entre San Nicolas B1 y Kr 5 entre Cl 19 y 20	617
110083	40	500700	519164	SANIC2	A4NC18	Camino a pie entre San Nicolas B1 y Av 4N entre Cl 18 y 19	796
110084	40	500700	519165	SANIC2	A4NC21	Camino a pie entre San Nicolas B1 y Av 4N entre Cl 21 y 22	594
110085	40	500700	519175	SANIC2	C21K5	Camino a pie entre San Nicolas B1 y Cl 21 entre Kr 5 y 4	487
110086	40	500750	500600	ERMI1	TORRE1	Camino a pie entre La Ermita A1 y Torre de Cali A1	428
110087	40	500750	500800	ERMI1	CAICED1	Camino a pie entre La Ermita A1 y Plaza de Caicedo A1	146
110088	40	500750	501550	ERMI1	SANPED2	Camino a pie entre La Ermita A1 y San Pedro B1	355
110089	40	500750	512071	ERMI1	C15NA4N	Camino a pie entre La Ermita A1 y Cl 15N entre Av 4N y 6N	1211
110090	40	500750	512104	ERMI1	A6NC13	Camino a pie entre La Ermita A1 y Av 6N entre Cl 13 y 15 Sisben	1392
110091	40	500750	512133	ERMI1	A1NC171	Camino a pie entre La Ermita A1 y Av 1N entre Cl 17 y 15	1008
110092	40	500750	515001	ERMI1	C8K41	Camino a pie entre La Ermita A1 y Cl 8 entre Kr 3 y 4	541
110093	40	500750	519048	ERMI1	K5C15	Camino a pie entre La Ermita A1 y Kr 5 entre Cl 15  y 16	471
110094	40	500750	519070	ERMI1	K4C9	Camino a pie entre La Ermita A1 y Kr 4 entre Cl 9 y 8	494
110095	40	500800	500750	CAICED1	ERMI1	Camino a pie entre Plaza de Caicedo A1 y La Ermita A1	146
111675	40	500900	500850	STROSA1	CENTRO1	Camino a pie entre Santa Rosa A1 y Centro A1	162
111678	40	500900	517002	STROSA1	C8K10	Camino a pie entre Santa Rosa A1 y Cl 8 entre Kr 10 y 12	586
111679	40	500900	519047	STROSA1	K8C16	Camino a pie entre Santa Rosa A1 y Kr 8 entre Cl 16 y 15	563
111680	40	500900	519050	STROSA1	C9K12	Camino a pie entre Santa Rosa A1 y Cl 9 entre Kr 13 y 12	621
111681	40	500900	519051	STROSA1	C10K10	Camino a pie entre Santa Rosa A1 y Cl 10 entre Kr 10 y 12	421
111682	40	500900	519052	STROSA1	C10K13	Camino a pie entre Santa Rosa A1 y Cl 10 entre Kr 13 y 14	640
111683	40	500900	519139	STROSA1	K10C15	Camino a pie entre Santa Rosa A1 y Kr 10 entre Cl 15 y 16	392
111684	40	500950	500900	FRAY1	STROSA1	Camino a pie entre Fray Damian A1 y Santa Rosa A1	374
111685	40	500950	501000	FRAY1	SANBO1	Camino a pie entre Fray Damian A1 y San Bosco A1	706
111686	40	500950	501400	FRAY1	SANPAS1	Camino a pie entre Fray Damian A1 y San Pascual A1	262
111687	40	500950	501450	FRAY1	SUCRE2	Camino a pie entre Fray Damian A1 y Sucre B1	493
111688	40	500950	519050	FRAY1	C9K12	Camino a pie entre Fray Damian A1 y Cl 9 entre Kr 13 y 12	570
111689	40	500950	519051	FRAY1	C10K10	Camino a pie entre Fray Damian A1 y Cl 10 entre Kr 10 y 12	662
111690	40	500950	519052	FRAY1	C10K13	Camino a pie entre Fray Damian A1 y Cl 10 entre Kr 13 y 14	444
111691	40	500950	519139	FRAY1	K10C15	Camino a pie entre Fray Damian A1 y Kr 10 entre Cl 15 y 16	718
111692	40	501000	500950	SANBO1	FRAY1	Camino a pie entre San Bosco A1 y Fray Damian A1	706
111776	40	501550	500800	SANPED2	CAICED1	Camino a pie entre San Pedro B1 y Plaza de Caicedo A1	322
111777	40	501550	512133	SANPED2	A1NC171	Camino a pie entre San Pedro B1 y Av 1N entre Cl 17 y 15	1200
111778	40	501550	519047	SANPED2	K8C16	Camino a pie entre San Pedro B1 y Kr 8 entre Cl 16 y 15	514
111779	40	501550	519048	SANPED2	K5C15	Camino a pie entre San Pedro B1 y Kr 5 entre Cl 15  y 16	197
111780	40	501550	519049	SANPED2	K5C19	Camino a pie entre San Pedro B1 y Kr 5 entre Cl 19 y 20	597
111781	40	501600	518001	SNTLIB1	C8K141	Camino a pie entre Santa Librada A1 y Cl 8 entre Kr 14 y 14A	593
111782	40	501600	519031	SNTLIB1	C9K19	Camino a pie entre Santa Librada A1 y Cl 9 entre Kr 19 y 17	1043
111783	40	501600	519032	SNTLIB1	K15C7	Camino a pie entre Santa Librada A1 y Kr 15 entre Cl 7 y 5	625
111784	40	501600	519067	SNTLIB1	C9K15	Camino a pie entre Santa Librada A1 y Cl 9 entre Kr 15 y 14A	699
111785	40	501600	519081	SNTLIB1	C5K15	Camino a pie entre Santa Librada A1 y Cl 5 entre Kr 15 y 16	314
111786	40	501600	519137	SNTLIB1	C7K25	Camino a pie entre Santa Librada A1 y Cl 7 entre Kr 25 y 24 Bomberos	1483
111787	40	501600	519138	SNTLIB1	C5K13Y14	Camino a pie entre Santa Librada A1 y Cl 5 entre Kr 13 y 14 Puente Peatonal	500
111788	40	501600	519147	SNTLIB1	C7K23B	Camino a pie entre Santa Librada A1 y Cl 7 entre  Kr 23B y 23	1307
111789	40	501600	519149	SNTLIB1	C8K19	Camino a pie entre Santa Librada A1 y Cl 8 entre Kr 19 y 22	943
111790	40	501600	519150	SNTLIB1	K23AC8	Camino a pie entre Santa Librada A1 y Kr 23A entre Cl 8 y 8A	1247
111791	40	501600	519177	SNTLIB1	C8K23A	Camino a pie entre Santa Librada A1 y Cl 8 entre Kr 23A y 23C	1266
111793	40	501650	517109	MANZA1	C6K24A	Camino a pie entre Manzana del Saber A1 y Cl 6 entre Kr 24A y 25	1434
111794	40	501650	517110	MANZA1	C6K26	Camino a pie entre Manzana del Saber A1 y Cl 6 entre Kr 26 y 27	1239
111795	40	501650	517111	MANZA1	C6K29	Camino a pie entre Manzana del Saber A1 y Cl 6 entre Kr 29 y 30	1253
111796	40	501650	519093	MANZA1	C4BK27	Camino a pie entre Manzana del Saber A1 y Cl 4B entre Kr 27 y 34	428
111797	40	501650	519094	MANZA1	K34C4	Camino a pie entre Manzana del Saber A1 y Kr 34 entre Cl 4 y 3	432
111798	40	501650	519109	MANZA1	K27C3O	Camino a pie entre Manzana del Saber A1 y Kr 27 entre Cl 3 y 2 Oe	508
111799	40	501650	519110	MANZA1	K27C3	Camino a pie entre Manzana del Saber A1 y Kr 27 entre Cl 3 y 4	328
111800	40	501650	519167	MANZA1	C7K27	Camino a pie entre Manzana del Saber A1 y Cl 7 entre Kr 27 y 26	1418
111801	40	501700	501650	ESTAD1	MANZA1	Camino a pie entre Estadio A1 y Manzana del Saber A1	817
