CALENDARID	OPERATIONDAY	SCHEDULETYPEID	PLANVERSIONID
13683	2013-05-04	1951016	40
13684	2013-05-05	1951017	40
13685	2013-05-06	1951012	40
13686	2013-05-07	1951012	40
13687	2013-05-08	1951012	40
13688	2013-05-09	1951012	40
13689	2013-05-10	1951012	40
13690	2013-05-11	1951016	40
13691	2013-05-12	1951017	40
13692	2013-05-13	1951017	40
13693	2013-05-14	1951012	40
13694	2013-05-15	1951012	40
13695	2013-05-16	1951012	40
13696	2013-05-17	1951012	40
13697	2013-05-18	1951016	40
13698	2013-05-19	1951017	40
13699	2013-05-20	1951012	40
13700	2013-05-21	1951012	40
13701	2013-05-22	1951012	40
13702	2013-05-23	1951012	40
13703	2013-05-24	1951012	40
13704	2013-05-25	1951016	40
13705	2013-05-26	1951017	40
13706	2013-05-27	1951012	40
13707	2013-05-28	1951012	40
13708	2013-05-29	1951012	40
13709	2013-05-30	1951012	40
13710	2013-05-31	1951012	40
13711	2013-06-01	1951016	40
13712	2013-06-02	1951017	40
13713	2013-06-03	1951017	40
13714	2013-06-04	1951012	40
13715	2013-06-05	1951012	40
13716	2013-06-06	1951012	40
13717	2013-06-07	1951012	40
13718	2013-06-08	1951016	40
13719	2013-06-09	1951017	40
13720	2013-06-10	1951017	40
13721	2013-06-11	1951012	40
13722	2013-06-12	1951012	40
13723	2013-06-13	1951012	40
13724	2013-06-14	1951012	40
13725	2013-06-15	1951016	40
13726	2013-06-16	1951017	40
13727	2013-06-17	1951012	40
13728	2013-06-18	1951012	40
13729	2013-06-19	1951012	40
13730	2013-06-20	1951012	40
13731	2013-06-21	1951012	40
13732	2013-06-22	1951016	40
13733	2013-06-23	1951017	40
13734	2013-06-24	1951012	40
13735	2013-06-25	1951012	40
13736	2013-06-26	1951012	40
13737	2013-06-27	1951012	40
13738	2013-06-28	1951012	40
13739	2013-06-29	1951016	40
13740	2013-06-30	1951017	40
13741	2013-07-01	1951017	40
13742	2013-07-02	1951012	40
13743	2013-07-03	1951012	40
13744	2013-07-04	1951012	40
13745	2013-07-05	1951012	40
13746	2013-07-06	1951016	40
13747	2013-07-07	1951017	40
13748	2013-07-08	1951012	40
13749	2013-07-09	1951012	40
13750	2013-07-10	1951012	40
13751	2013-07-11	1951012	40
13752	2013-07-12	1951012	40
13753	2013-07-13	1951016	40
13754	2013-07-14	1951017	40
13755	2013-07-15	1951012	40
13756	2013-07-16	1951012	40
13757	2013-07-17	1951012	40
13758	2013-07-18	1951012	40
13759	2013-07-19	1951012	40
13760	2013-07-20	1951017	40
13761	2013-07-21	1951017	40
13762	2013-07-22	1951012	40
13763	2013-07-23	1951012	40
13764	2013-07-24	1951012	40
13765	2013-07-25	1951012	40
13766	2013-07-26	1951012	40
13767	2013-07-27	1951016	40
13768	2013-07-28	1951017	40
13769	2013-07-29	1951012	40
13770	2013-07-30	1951012	40
13771	2013-07-31	1951012	40
13772	2013-08-01	1951012	40
13773	2013-08-02	1951012	40
13774	2013-08-03	1951016	40
13775	2013-08-04	1951017	40
13776	2013-08-05	1951012	40
13777	2013-08-06	1951012	40
13778	2013-08-07	1951017	40
13779	2013-08-08	1951012	40
13780	2013-08-09	1951012	40
13781	2013-08-10	1951016	40
13784	2013-08-13	1951012	40
13785	2013-08-14	1951012	40
13786	2013-08-15	1951012	40
13787	2013-08-16	1951012	40
13788	2013-08-17	1951016	40
13789	2013-08-18	1951017	40
13790	2013-08-19	1951017	40
13791	2013-08-20	1951012	40
13792	2013-08-21	1951012	40
13793	2013-08-22	1951012	40
13794	2013-08-23	1951012	40
13795	2013-08-24	1951016	40
13796	2013-08-25	1951017	40
13797	2013-08-26	1951012	40
13798	2013-08-27	1951012	40
13799	2013-08-28	1951012	40
13800	2013-08-29	1951012	40
13801	2013-08-30	1951012	40
13802	2013-08-31	1951016	40
13803	2013-09-01	1951017	40
13804	2013-09-02	1951012	40
13805	2013-09-03	1951012	40
13806	2013-09-04	1951012	40
13807	2013-09-05	1951012	40
13808	2013-09-06	1951012	40
13809	2013-09-07	1951016	40
13810	2013-09-08	1951017	40
13811	2013-09-09	1951012	40
13812	2013-09-10	1951012	40
13813	2013-09-11	1951012	40
13814	2013-09-12	1951012	40
13815	2013-09-13	1951012	40
13816	2013-09-14	1951016	40
13817	2013-09-15	1951017	40
13818	2013-09-16	1951012	40
13819	2013-09-17	1951012	40
13820	2013-09-18	1951012	40
13821	2013-09-19	1951012	40
13822	2013-09-20	1951012	40
13823	2013-09-21	1951016	40
13824	2013-09-22	1951017	40
13825	2013-09-23	1951012	40
13826	2013-09-24	1951012	40
13827	2013-09-25	1951012	40
13828	2013-09-26	1951012	40
13829	2013-09-27	1951012	40
13830	2013-09-28	1951016	40
13831	2013-09-29	1951017	40
13832	2013-09-30	1951012	40
13833	2013-10-01	1951012	40
13834	2013-10-02	1951012	40
13835	2013-10-03	1951012	40
13836	2013-10-04	1951012	40
13837	2013-10-05	1951016	40
13838	2013-10-06	1951017	40
13839	2013-10-07	1951012	40
13840	2013-10-08	1951012	40
13841	2013-10-09	1951012	40
13842	2013-10-10	1951012	40
13843	2013-10-11	1951012	40
13844	2013-10-12	1951016	40
13845	2013-10-13	1951017	40
13846	2013-10-14	1951017	40
13847	2013-10-15	1951012	40
13848	2013-10-16	1951012	40
13849	2013-10-17	1951012	40
13850	2013-10-18	1951012	40
13851	2013-10-19	1951016	40
13852	2013-10-20	1951017	40
13853	2013-10-21	1951012	40
13854	2013-10-22	1951012	40
13855	2013-10-23	1951012	40
13856	2013-10-24	1951012	40
13857	2013-10-25	1951012	40
13858	2013-10-26	1951016	40
13859	2013-10-27	1951017	40
13860	2013-10-28	1951012	40
13861	2013-10-29	1951012	40
13862	2013-10-30	1951012	40
13863	2013-10-31	1951012	40
13864	2013-11-01	1951012	40
13865	2013-11-02	1951016	40
13866	2013-11-03	1951017	40
13867	2013-11-04	1951017	40
13868	2013-11-05	1951012	40
13869	2013-11-06	1951012	40
13870	2013-11-07	1951012	40
13871	2013-11-08	1951012	40
13872	2013-11-09	1951016	40
13873	2013-11-10	1951017	40
13874	2013-11-11	1951017	40
13875	2013-11-12	1951012	40
13876	2013-11-13	1951012	40
13877	2013-11-14	1951012	40
13878	2013-11-15	1951012	40
13879	2013-11-16	1951016	40
13880	2013-11-17	1951017	40
13881	2013-11-18	1951012	40
13882	2013-11-19	1951012	40
13883	2013-11-20	1951012	40
13884	2013-11-21	1951012	40
13885	2013-11-22	1951012	40
13886	2013-11-23	1951016	40
13887	2013-11-24	1951017	40
13888	2013-11-25	1951012	40
