DATAPLANID	LINESHORTNAME	LINEID	ORIENTATION	TOTALSTOPS	TRIPLENGTH	TASKID	TRIPID	TRIPSTARTTIME	SCHEDULETYPEID	TRIPTYPEID	PLANVERSIONID	TRANSPORTCONTRATIST	REGISTERDATE	TRIPENDTIME	TRIPTRANSITTIME
3528641	A23	323	2	2	41	305	9929	40591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528642	A23	323	1	12	4620	305	81	40831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	41791	960
3528643	A23	323	2	2	41	305	9928	41791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528644	A23	323	1	12	4620	305	85	42031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	42991	960
3528645	A23	323	2	2	41	305	9927	42991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528646	A23	323	1	12	4620	305	89	43231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	44191	960
3528647	A23	323	2	2	41	305	9926	44191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528648	A23	323	1	12	4620	305	93	44431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	45391	960
3528649	A23	323	2	2	41	305	9925	45391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528650	A23	323	1	12	4620	305	97	45631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	46591	960
3528651	A23	323	2	2	41	305	9924	46591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528652	A23	323	1	12	4620	305	101	46831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	47791	960
3528653	A23	323	2	2	41	305	9923	47791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528654	A23	323	1	12	4620	305	105	48031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	48991	960
3528655	A23	323	2	2	41	305	9922	48991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528656	A23	323	1	12	4620	305	109	49231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	50191	960
3528657	A23	323	2	2	41	305	9921	50191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528658	A23	323	1	12	4620	305	113	50431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	51391	960
3528659	A23	323	2	2	41	305	9920	51391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528660	A23	323	1	12	4620	305	117	51631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	52591	960
3528661	A23	323	2	2	41	305	9919	52591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528662	A23	323	1	12	4620	305	121	52831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	53791	960
3528663	A23	323	2	2	41	305	9918	53791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528664	A23	323	1	12	4620	305	125	54031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	54991	960
3528665	A23	323	2	2	41	305	9917	54991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528666	A23	323	1	12	4620	305	129	55231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	56191	960
3528667	A23	323	2	2	41	305	9916	56191	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528668	A23	323	1	12	4620	305	133	56431	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	57391	960
3528669	A23	323	2	2	41	305	9915	57391	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528670	A23	323	1	12	4620	305	137	57631	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	58591	960
3528671	A23	323	2	2	41	305	9914	58591	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528672	A23	323	1	12	4620	305	141	58831	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	59791	960
3528673	A23	323	2	2	41	305	9913	59791	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528674	A23	323	1	12	4620	305	145	60031	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	60991	960
3528675	A23	323	2	2	41	305	9912	60991	1951016	3	40	Blanco y Negro Masivo	2013-05-03 08:23:01	(null)	(null)
3528676	A23	323	1	12	4620	305	149	61231	1951016	1	40	Blanco y Negro Masivo	2013-05-03 08:23:01	62191	960
