LINEARCID	LINEID	ARCID	ARCSEQUENCE	ORIENTATION	PLANVERSIONID	LINEVARIANT	REGISTERDATE
186021	131	109712	0	1	40	4	2013-05-03 08:22:52-05
186022	131	110457	1	1	40	4	2013-05-03 08:22:52-05
186023	131	110863	2	1	40	4	2013-05-03 08:22:52-05
186024	131	110866	3	1	40	4	2013-05-03 08:22:52-05
186025	131	111227	4	1	40	4	2013-05-03 08:22:52-05
186026	131	110867	5	1	40	4	2013-05-03 08:22:52-05
186027	131	108979	6	1	40	4	2013-05-03 08:22:52-05
186028	131	109338	7	1	40	4	2013-05-03 08:22:52-05
186029	131	111234	8	1	40	4	2013-05-03 08:22:52-05
186030	131	110463	9	1	40	4	2013-05-03 08:22:52-05
186031	131	110873	10	1	40	4	2013-05-03 08:22:52-05
186032	131	110047	11	1	40	4	2013-05-03 08:22:52-05
186033	131	110049	12	1	40	4	2013-05-03 08:22:52-05
186034	131	109298	13	1	40	4	2013-05-03 08:22:52-05
186035	131	110051	14	1	40	4	2013-05-03 08:22:52-05
186036	131	108949	15	1	40	4	2013-05-03 08:22:52-05
186037	131	110415	16	1	40	4	2013-05-03 08:22:52-05
186038	131	109306	17	1	40	4	2013-05-03 08:22:52-05
186039	131	111516	18	1	40	4	2013-05-03 08:22:52-05
186040	131	110420	19	1	40	4	2013-05-03 08:22:52-05
186041	131	110831	20	1	40	4	2013-05-03 08:22:52-05
186042	131	111521	21	1	40	4	2013-05-03 08:22:52-05
186043	131	111523	22	1	40	4	2013-05-03 08:22:52-05
186044	131	111207	23	1	40	4	2013-05-03 08:22:52-05
186045	131	109312	24	1	40	4	2013-05-03 08:22:52-05
186046	131	110426	25	1	40	4	2013-05-03 08:22:52-05
186047	131	109306	0	1	40	18	2013-05-03 08:22:52-05
186048	131	111516	1	1	40	18	2013-05-03 08:22:52-05
186049	131	110420	2	1	40	18	2013-05-03 08:22:52-05
186050	131	110831	3	1	40	18	2013-05-03 08:22:52-05
186051	131	111521	4	1	40	18	2013-05-03 08:22:52-05
186052	131	111523	5	1	40	18	2013-05-03 08:22:52-05
186053	131	111207	6	1	40	18	2013-05-03 08:22:52-05
186054	131	109312	7	1	40	18	2013-05-03 08:22:52-05
186055	131	110426	8	1	40	18	2013-05-03 08:22:52-05
186056	131	109450	0	1	40	5	2013-05-03 08:22:52-05
186057	131	110561	1	1	40	5	2013-05-03 08:22:52-05
186058	131	110834	2	1	40	5	2013-05-03 08:22:52-05
186059	131	111526	0	0	40	2	2013-05-03 08:22:52-05
186060	131	111525	1	0	40	2	2013-05-03 08:22:52-05
186061	131	110424	2	0	40	2	2013-05-03 08:22:52-05
186062	131	108960	3	0	40	2	2013-05-03 08:22:52-05
186063	131	111518	4	0	40	2	2013-05-03 08:22:52-05
186064	131	109309	5	0	40	2	2013-05-03 08:22:52-05
186065	131	110419	6	0	40	2	2013-05-03 08:22:52-05
186066	131	110829	7	0	40	2	2013-05-03 08:22:52-05
186067	131	108955	8	0	40	2	2013-05-03 08:22:52-05
186068	131	108951	9	0	40	2	2013-05-03 08:22:52-05
186069	131	109303	10	0	40	2	2013-05-03 08:22:52-05
186070	131	110819	11	0	40	2	2013-05-03 08:22:52-05
186071	131	110048	12	0	40	2	2013-05-03 08:22:52-05
186072	131	110411	13	0	40	2	2013-05-03 08:22:52-05
186073	131	109724	14	0	40	2	2013-05-03 08:22:52-05
186074	131	109669	15	0	40	2	2013-05-03 08:22:52-05
186075	131	108945	16	0	40	2	2013-05-03 08:22:52-05
186076	131	111187	17	0	40	2	2013-05-03 08:22:52-05
186077	131	111192	18	0	40	2	2013-05-03 08:22:52-05
186078	131	108978	19	0	40	2	2013-05-03 08:22:52-05
186079	131	110868	20	0	40	2	2013-05-03 08:22:52-05
186080	131	111558	21	0	40	2	2013-05-03 08:22:52-05
186081	131	109335	22	0	40	2	2013-05-03 08:22:52-05
186082	131	111554	23	0	40	2	2013-05-03 08:22:52-05
186083	131	110459	24	0	40	2	2013-05-03 08:22:52-05
186084	131	109716	25	0	40	2	2013-05-03 08:22:52-05
186085	131	109713	26	0	40	2	2013-05-03 08:22:52-05
186086	131	110862	27	0	40	2	2013-05-03 08:22:52-05
186087	131	111317	0	0	40	3	2013-05-03 08:22:52-05
186088	131	111658	1	0	40	3	2013-05-03 08:22:52-05
186089	131	108974	2	0	40	3	2013-05-03 08:22:52-05
186090	131	108951	0	0	40	21	2013-05-03 08:22:52-05
186091	131	109303	1	0	40	21	2013-05-03 08:22:52-05
