LINESTOPID	STOPSEQUENCE	ORIENTATION	LINEID	STOPID	PLANVERSIONID	LINEVARIANT	REGISTERDATE	LINEVARIANTTYPE
139232	1	0	131	502303	40	2	2013-05-03 08:19:55	1
139233	2	0	131	502251	40	2	2013-05-03 08:19:55	1
139234	3	0	131	502201	40	2	2013-05-03 08:19:55	1
139235	4	0	131	502151	40	2	2013-05-03 08:19:55	1
139236	5	0	131	502101	40	2	2013-05-03 08:19:55	1
139237	6	0	131	502051	40	2	2013-05-03 08:19:55	1
139238	7	0	131	502001	40	2	2013-05-03 08:19:55	1
139239	8	0	131	501951	40	2	2013-05-03 08:19:55	1
139240	9	0	131	501901	40	2	2013-05-03 08:19:55	1
139241	10	0	131	501853	40	2	2013-05-03 08:19:55	1
139242	11	0	131	501803	40	2	2013-05-03 08:19:55	1
139243	12	0	131	501753	40	2	2013-05-03 08:19:55	1
139244	13	0	131	501701	40	2	2013-05-03 08:19:55	1
139245	14	0	131	501651	40	2	2013-05-03 08:19:55	1
139246	15	0	131	501601	40	2	2013-05-03 08:19:55	1
139247	16	0	131	501001	40	2	2013-05-03 08:19:55	1
139248	17	0	131	501401	40	2	2013-05-03 08:19:55	1
139249	18	0	131	501450	40	2	2013-05-03 08:19:55	1
139250	19	0	131	501500	40	2	2013-05-03 08:19:55	1
139251	20	0	131	501550	40	2	2013-05-03 08:19:55	1
139252	21	0	131	500601	40	2	2013-05-03 08:19:55	1
139253	22	0	131	500700	40	2	2013-05-03 08:19:55	1
139254	23	0	131	500650	40	2	2013-05-03 08:19:55	1
139255	24	0	131	500451	40	2	2013-05-03 08:19:55	1
139256	25	0	131	500401	40	2	2013-05-03 08:19:55	1
139257	26	0	131	500353	40	2	2013-05-03 08:19:55	1
139258	27	0	131	500301	40	2	2013-05-03 08:19:55	1
139259	28	0	131	500251	40	2	2013-05-03 08:19:55	1
139260	29	0	131	500201	40	2	2013-05-03 08:19:55	1
139261	1	0	131	500201	40	3	2013-05-03 08:19:55	3
139262	2	0	131	600201	40	3	2013-05-03 08:19:55	3
139263	3	0	131	600200	40	3	2013-05-03 08:19:55	3
139264	4	0	131	500200	40	3	2013-05-03 08:19:55	3
139265	1	1	131	500200	40	4	2013-05-03 08:19:55	1
139266	2	1	131	500250	40	4	2013-05-03 08:19:55	1
139267	3	1	131	500300	40	4	2013-05-03 08:19:55	1
139268	4	1	131	500350	40	4	2013-05-03 08:19:55	1
139269	5	1	131	500400	40	4	2013-05-03 08:19:55	1
139270	6	1	131	500450	40	4	2013-05-03 08:19:55	1
139271	7	1	131	500500	40	4	2013-05-03 08:19:55	1
139272	8	1	131	500602	40	4	2013-05-03 08:19:55	1
139273	9	1	131	500750	40	4	2013-05-03 08:19:55	1
139274	10	1	131	500850	40	4	2013-05-03 08:19:55	1
139275	11	1	131	500950	40	4	2013-05-03 08:19:55	1
139276	12	1	131	501002	40	4	2013-05-03 08:19:55	1
139277	13	1	131	501602	40	4	2013-05-03 08:19:55	1
139278	14	1	131	501652	40	4	2013-05-03 08:19:55	1
139279	15	1	131	501702	40	4	2013-05-03 08:19:55	1
139280	16	1	131	501750	40	4	2013-05-03 08:19:55	1
139281	17	1	131	501800	40	4	2013-05-03 08:19:55	1
139282	18	1	131	501852	40	4	2013-05-03 08:19:55	1
139283	19	1	131	501900	40	4	2013-05-03 08:19:55	1
139284	20	1	131	501950	40	4	2013-05-03 08:19:55	1
139285	21	1	131	502000	40	4	2013-05-03 08:19:55	1
139286	22	1	131	502050	40	4	2013-05-03 08:19:55	1
139287	23	1	131	502102	40	4	2013-05-03 08:19:55	1
139288	24	1	131	502150	40	4	2013-05-03 08:19:55	1
139289	25	1	131	502200	40	4	2013-05-03 08:19:55	1
139290	26	1	131	502250	40	4	2013-05-03 08:19:55	1
139291	27	1	131	502300	40	4	2013-05-03 08:19:55	1
139292	1	1	131	502300	40	5	2013-05-03 08:19:55	3
139293	2	1	131	602300	40	5	2013-05-03 08:19:55	3
139294	3	1	131	602303	40	5	2013-05-03 08:19:55	3
139295	4	1	131	502303	40	5	2013-05-03 08:19:55	3
139296	1	1	131	501750	40	10	2013-05-03 08:19:55	1
139297	2	1	131	501800	40	10	2013-05-03 08:19:55	1
139298	3	1	131	501852	40	10	2013-05-03 08:19:55	1
139299	4	1	131	501900	40	10	2013-05-03 08:19:55	1
139300	5	1	131	501950	40	10	2013-05-03 08:19:55	1
139301	6	1	131	502000	40	10	2013-05-03 08:19:55	1
139302	7	1	131	502050	40	10	2013-05-03 08:19:55	1
139303	8	1	131	502102	40	10	2013-05-03 08:19:55	1
