PLANVERSIONID	ACTIVATIONDATE	CREATIONDATE
40	2013-05-04	2013-05-03 08:19:39
39	2013-04-14	2013-04-16 10:29:25
38	2013-03-14	2013-03-13 17:02:14
37	2013-02-23	2013-02-22 16:57:57
36	2013-01-14	2013-01-13 19:08:36
35	2013-01-03	2013-01-13 15:24:45
34	2012-12-26	2012-12-25 12:44:37
33	2012-09-22	2012-09-21 14:16:03
32	2012-09-15	2012-09-14 08:46:24
31	2012-07-23	2012-07-19 14:57:32
30	2012-07-03	2012-06-28 21:25:12
29	2012-05-31	2012-06-01 06:54:21
28	2012-05-22	2012-05-19 17:26:45
27	2012-04-07	2012-04-05 16:07:29
26	2012-04-02	2012-03-30 23:27:34
25	2012-02-27	2012-02-24 15:34:10
24	2012-01-23	2012-01-20 15:58:51
23	2011-12-25	2011-12-23 13:51:22
22	2011-12-05	2011-12-02 17:17:20
21	2011-11-13	2011-11-11 19:24:48
20	2011-09-26	2011-09-26 18:11:37
19	2011-09-05	2011-09-02 16:19:22
18	2011-08-09	2011-08-08 18:44:18
17	2011-08-04	2011-08-03 20:50:28
16	2011-07-27	2011-07-26 17:17:31
15	2011-07-08	2011-07-07 14:52:51
14	2011-07-02	2011-06-30 15:20:35
13	2011-05-28	2011-05-27 20:07:45
12	2011-04-06	2011-04-05 16:44:28
11	2011-03-25	2011-03-24 10:38:54
10	2011-03-14	2011-03-14 00:00:00
9	2011-03-07	2011-03-07 01:00:00
8	2011-02-21	2011-02-21 01:00:00
7	2011-02-09	2011-02-08 01:00:00
6	2011-01-17	2011-01-14 09:13:23
5	2010-12-24	2010-12-23 11:59:34
4	2010-12-09	2010-12-07 01:00:00
3	2010-10-30	2010-10-27 00:00:00
2	2010-10-16	2010-10-12 00:00:00
1	2010-09-08	2010-09-08 00:00:00
