STOPID	PLANVERSIONID	SHORTNAME	LONGNAME	GPS_X	GPS_Y	DECIMALLONGITUDE	DECIMALLATITUDE
4	40	PTP_SAL	Patio Taller Pizamos_Salida	-762834421	32413805	-76.47622806	3.40383472
5	40	PPM_SAL	Puerto Mallarino	-762829572	32549701	-76.47488111	3.4304725
6	40	PPM_ENT	Puerto Mallarino	-762829572	32549701	-76.47488111	3.4304725
9	40	PVL-SAL	Patio Valle Lili	-763045388	32132031	-76.51260778	3.3588975
10	40	PVL-ENT	Patio Valle Lili	-763044995	32132098	-76.51249861	3.35891611
21	40	PCS-SAL	Patio Calima-Sameco Salida	-763016889	32949173	-76.50469139	3.4969925
22	40	PCS-ENT	Patio Calima-Sameco Entrada	-763016889	32949173	-76.50469139	3.4969925
41	40	PTP_ENT	Patio Taller Pizamos_Entrada	-762834494	32413658	-76.47624833	3.40379389
500050	40	T.C-A1	T.Canaveralejo A1	-763258637	32453166	-76.54962139	3.41476833
500051	40	T.C-A2	T.Canaveralejo A2	-763258462	32452354	-76.54957278	3.41454278
500052	40	T.C-A3	T.Canaveralejo A3	-763257714	32451892	-76.549365	3.41441444
500053	40	T.C-A4	T.Canaveralejo A4	-763256913	32452152	-76.5491425	3.41448667
500054	40	T.C-A5	T.Canaveralejo A5	-763256733	32452790	-76.5490925	3.41466389
500055	40	T.C-A7	T.Canaveralejo A7	-763256229	32454169	-76.5489525	3.41504694
500056	40	T.C-A6	T.Canaveralejo A6	-763256424	32453498	-76.54900667	3.41486056
500057	40	T.C-B3	T.Canaveralejo B3	-763256820	32454019	-76.54911667	3.41500528
500058	40	T.C-A8	T.Canaveralejo A8	-763256088	32454643	-76.54891333	3.41517861
500059	40	T.C-B2	T.Canaveralejo B2	-763256979	32453200	-76.54916083	3.41477778
500060	40	T.C-A9	T.Canaveralejo A9	-763256278	32455170	-76.54896611	3.415325
500061	40	T.C-A10	T.Canaveralejo A10	-763256699	32455320	-76.54908306	3.41536667
500062	40	T.C-A11	T.Canaveralejo A11	-763257231	32455420	-76.54923083	3.41539444
500063	40	T.C-A12	T.Canaveralejo A12	-763257744	32455115	-76.54937333	3.41530972
500100	40	TMENGA1	Terminal Menga C1	-763033049	32921113	-76.50918028	3.48919806
500101	40	TMENGA2	Terminal Menga C2	-763032175	32920771	-76.5089375	3.48910306
500102	40	TMENGA3	Terminal Menga C3	-763030655	32920278	-76.50851528	3.48896611
500103	40	TMENGA4	Terminal Menga C4	-763029382	32919898	-76.50816167	3.48886056
500104	40	TMENGA5	Terminal Menga B1	-763028644	32921158	-76.50795667	3.48921056
500106	40	TMENGA7	Terminal Menga B3	-763030999	32921823	-76.50861083	3.48939528
500108	40	TMENGA9	Terminal Menga A1	-763027857	32921895	-76.50773806	3.48941528
500109	40	TMENGA10	Terminal Menga A2	-763028484	32922122	-76.50791222	3.48947833
500110	40	TMENGA11	Terminal Menga A3	-763029187	32922331	-76.5081075	3.48953639
500111	40	TMENGA12	Terminal Menga A4	-763029791	32922448	-76.50827528	3.48956889
500112	40	TMENGA13	Terminal Menga A5	-763030383	32922577	-76.50843972	3.48960472
500113	40	TMENGA14	Terminal Menga A6	-763031010	32922748	-76.50861389	3.48965222
500114	40	TMENGA15	Terminal Menga A7	-763031618	32922899	-76.50878278	3.48969417
500150	40	A.SANIN1	Terminal Andres Sanin B1	-762857155	32637688	-76.48254306	3.44380222
500151	40	A.SANIN2	Terminal Andres Sanin B2	-762859172	32637954	-76.48310333	3.44387611
500152	40	A.SANIN3	Terminal Andres Sanin B3	-762900914	32638173	-76.48358722	3.44393694
500153	40	A.SANIN4	Terminal Andres Sanin C1	-762857133	32637265	-76.48253694	3.44368472
500154	40	A.SANIN5	Terminal Andres Sanin C3	-762859017	32637523	-76.48306028	3.44375639
500155	40	A.SANIN6	Terminal Andres Sanin C4	-762900261	32637700	-76.48340583	3.44380556
500156	40	A.SANIN7	Terminal Andres Sanin D3	-762859152	32636584	-76.48309778	3.44349556
500157	40	A.SANIN8	Terminal Andres Sanin D2	-762900359	32636560	-76.48343306	3.44348889
500158	40	A.SANI10	Terminal Andres Sanin E3	-762857556	32636156	-76.48265444	3.44337667
500159	40	A.SANI11	Terminal Andres Sanin E2	-762859112	32636136	-76.48308667	3.44337111
500160	40	A.SANI12	Terminal Andres Sanin C2	-762857831	32637364	-76.48273083	3.44371222
500161	40	A.SANI13	Terminal Andres Sanin C5	-762900883	32637775	-76.48357861	3.44382639
500162	40	A.SANI14	Terminal Andres Sanin D1	-762900957	32636559	-76.48359917	3.44348861
500163	40	A.SANI15	Terminal Andres Sanin E1	-762900661	32636031	-76.48351694	3.44334194
500164	40	A.SANI16	Terminal Andres Sanin D4	-762857928	32636615	-76.48275778	3.44350417
500165	40	A.SANI17	Terminal Andres Sanin D5	-762857213	32636636	-76.48255917	3.44351
500200	40	CHIMI3	Chiminangos A2	-762954162	32852998	-76.49837833	3.48138833
500201	40	CHIMI2	Chiminangos B1	-762953076	32853766	-76.49807667	3.48160167
500250	40	FLORAI1	Flora Industrial A1	-763008742	32841370	-76.50242833	3.47815833
500251	40	FLORAI2	Flora Industrial B1	-763007542	32842078	-76.502095	3.478355
500300	40	SALOM1	Salomia A1	-763025020	32825050	-76.50695	3.473625
500301	40	SALOM2	Salomia B1	-763023598	32825866	-76.506555	3.47385167
500350	40	POPU1	Popular A1	-763039192	32810092	-76.51088667	3.46947
500352	40	POPU3	Popular A2	-763040260	32808484	-76.51118333	3.46902333
500353	40	POPU4	Popular B2	-763038034	32810842	-76.510565	3.46967833
500400	40	MZAN1	Manzanares A1	-763048366	32758050	-76.513435	3.466125
500401	40	MZAN2	Manzanares B1	-763047592	32758752	-76.51322	3.46632
500450	40	FATI1	Fatima A1	-763103072	32746404	-76.51752	3.46289
500451	40	FATI2	Fatima B1	-763102010	32746716	-76.517225	3.46297667
500500	40	RIOC1	Rio Cali A1	-763131236	32737548	-76.52534333	3.46043
500600	40	TORRE1	Torre de Cali A1	-763149044	32724858	-76.53029	3.456905
500601	40	TORRE2	Torre de Cali B1	-763149170	32724294	-76.530325	3.45674833
500602	40	TORRE3	Torre de Cali A2	-763149932	32723574	-76.53053667	3.45654833
500603	40	TORRE4	Torre de Cali B2	-763148174	32725632	-76.53004833	3.45712
500650	40	PILOT2	Piloto B1	-763120364	32736510	-76.52232333	3.46014167
500700	40	SANIC2	San Nicolas B1	-763132076	32730936	-76.52557667	3.45859333
500750	40	ERMI1	La Ermita A1	-763154278	32713065	-76.53174389	3.45362917
500751	40	ERMI3	La Ermita A2	-763153532	32711454	-76.53153667	3.45318167
500800	40	CAICED1	Plaza de Caicedo A1	-763152836	32708670	-76.53134333	3.45240833
500850	40	CENTRO1	Centro A1	-763148516	32654744	-76.53014333	3.44854
500851	40	CENTRO3	Centro A2	-763148102	32653142	-76.53002833	3.448095
500900	40	STROSA1	Santa Rosa A1	-763147130	32650040	-76.52975833	3.44723333
500950	40	FRAY1	Fray Damian A1	-763144118	32638286	-76.52892167	3.44396833
500951	40	FRAY3	Fray Damian A2	-763143728	32636618	-76.52881333	3.443505
500952	40	FRAY5	Fray Damian A3	-763143428	32635256	-76.52873	3.44312667
