id	TASKID	SCHEDULETYPEID	LINES_LINEID	PLANVERSIONID
2158	102	1951016	431	40
2159	102	1951017	3172	40
2160	103	1951016	3172	40
2161	103	1951017	3172	40
2162	103	1951012	3172	40
2163	104	1951012	3442	40
2164	104	1951016	2141	40
2165	104	1951017	3172	40
2166	105	1951012	3172	40
2167	105	1951016	3422	40
2168	105	1951017	3173	40
2169	106	1951016	142	40
2170	106	1951017	2402	40
2171	106	1951012	2703	40
2172	107	1951012	3442	40
2173	107	1951016	2102	40
2174	107	1951017	2472	40
2175	108	1951012	3442	40
2176	108	1951016	2102	40
2177	108	1951017	2274	40
2178	109	1951012	3133	40
2179	109	1951016	2273	40
2180	109	1951017	2472	40
2181	110	1951012	3421	40
2182	110	1951016	142	40
2183	110	1951017	2472	40
2184	111	1951012	371	40
2185	111	1951016	333	40
2186	111	1951017	2274	40
2187	112	1951012	371	40
2188	112	1951016	333	40
2189	112	1951017	2274	40
2190	113	1951012	371	40
2191	113	1951016	333	40
2192	113	1951017	2274	40
2193	114	1951012	3412	40
2194	114	1951016	345	40
2195	114	1951017	2274	40
2196	115	1951012	321	40
2197	115	1951016	345	40
2198	115	1951017	2274	40
2199	116	1951012	372	40
2200	116	1951016	372	40
2201	116	1951017	381	40
2202	117	1951012	372	40
2203	117	1951016	372	40
2204	117	1951017	381	40
2205	118	1951012	372	40
2206	118	1951016	372	40
2207	118	1951017	381	40
2208	119	1951012	3171	40
2209	119	1951016	334	40
2210	119	1951017	381	40
2211	120	1951016	374	40
2212	120	1951017	3192	40
2213	120	1951012	374	40
2214	121	1951012	3171	40
2215	121	1951017	3192	40
2216	121	1951016	334	40
2217	122	1951012	3171	40
2218	122	1951016	2241	40
2219	122	1951017	3192	40
2220	123	1951012	375	40
2221	123	1951017	3191	40
2222	123	1951016	3122	40
2223	124	1951012	375	40
2224	124	1951016	1472	40
2225	124	1951017	373	40
2226	125	1951012	374	40
2227	125	1951016	374	40
2228	125	1951017	373	40
2229	126	1951012	376	40
2230	126	1951016	232	40
2231	126	1951017	373	40
2232	127	1951012	374	40
2233	127	1951016	332	40
2234	127	1951017	3411	40
2235	128	1951012	1472	40
2236	128	1951016	1472	40
2237	128	1951017	351	40
2238	129	1951012	1472	40
2239	129	1951016	376	40
2240	129	1951017	372	40
2241	130	1951012	375	40
2242	130	1951016	331	40
2243	130	1951017	3411	40
2244	131	1951012	3171	40
2245	131	1951016	2241	40
2246	131	1951017	345	40
2247	132	1951012	3771	40
2248	132	1951016	321	40
2249	132	1951017	371	40
2250	133	1951012	311	40
2251	133	1951017	2472	40
2252	133	1951016	311	40
2253	134	1951012	301	40
2254	134	1951016	232	40
